No.,Market,Current Segment,Segment on First Quotation,Company,ISIN,Symbol,Country,Type,Supersector,Sector,Subsector,Prospectus,First Trading Day,Underwriter,Issuing Method,Bookbuilding Range,Subscription Price,First Price,Placement Volume incl. GS in euro,Placement Volume of executed GS in euro,Placement Volume (Shares),Placement Volume (Shares) of New Shares,Placement Volume (Shares) of Existing Shares,Greenshoe in Shares,Greenshoe in Executed Shares,Capital Stock / Shares on 1st Quotation,Total Market Cap on 1st Quotation in euro,Market Cap (Free Float) on 1st Quotation in euro
1209,Open Market,Delisted,First Quotation Board,Klosterbrauerei Königsbronn AG,DE0007958217,KB8,Germany,LI,,,,no,20/01/2006,,,,,8,,,,,,,,"330,000","2,640,000.00",
1210,Open Market,Basic Board,Entry Standard,mVISE AG,DE0006204589,C1V,Germany,LI,,Telecommunication,Telecommunication Services,no,13/01/2006,,,,,9.75,,,,,,,,"1,837,612","17,916,717.00",
1211,Open Market,Basic Board,Entry Standard,PCP PUBLICCAPITALPARTNERS AG,DE000A2DA406,N1N,Germany,LI,,Industrial,Advanced Industrial Equipment,yes,4/1/2006,,,,,91,,,,,,,,"1,350,000","122,850,000.00",
1212,Open Market,Delisted,First Quotation Board,n2 Nanotech AG,DE000A0HM5A1,N2Y,Germany,LI,,,,no,30/12/2005,,,,,5.41,,,,,,,,"350,000","1,893,500.00",
1213,Open Market,Basic Board,Entry Standard,Plan Optik AG,DE000A0HGQS8,P4O,Germany,NI,,Industrial,Advanced Industrial Equipment,yes,29/12/2005,Baader Wertpapierhandelsbank AG,Fixed Price Procedure,,20,22,"3,200,000.00",,"160,000","136,930","23,070",,,"700,000","15,400,000.00",
1214,Open Market,Delisted,First Quotation Board,independent capital AG,DE0005132906,I8C,Germany,LI,,,,no,29/12/2005,,,,,1.8,,,,,,,,"1,251,310","2,252,358.00",
1215,Open Market,Delisted,First Quotation Board,Infratec AG,DE000A1EMAT3,I4T,Germany,LI,,,,no,23/12/2005,,,,,7.21,,,,,,,,"1,000,000","7,210,000.00",
1216,Regulated Market,Prime Standard,Prime Standard (Geregelter Markt),4SC AG,DE0005753818,VSC,Germany,LI,,Pharma & Healthcare,Biotechnology,yes,15/12/2005,,,,,4.41,,,,,,,,"10,530,077","46,437,639.57",
1217,Open Market,Delisted,First Quotation Board,THENERGO sustainable energies AG,DE0005492821,ENO,Germany,LI,,,,no,15/12/2005,,,,,4.9,,,,,,,,"2,700,000","13,230,000.00",
1218,Open Market,Delisted,First Quotation Board,MioBet AG,DE000A0B9212,C3G,Germany,LI,,,,no,14/12/2005,,,,,8.4,,,,,,,,"32,000,000","268,800,000.00",
1219,Regulated Market,Delisted,Kein / None ( Transfer in Geregelter Markt),Electronics Line 3000 Ltd.,IL0010905052,ELN,Israel,TR,,Technology,Communications Technology,yes,12/12/2005,Concord Effekten Aktiengesellschaft (Lead Manager: Concord Effekten Aktiengesellschaft),Bookbuilding Procedure,5.00 - 5.50,5.3,5.3,"9,351,139.80",,"1,764,366",,,"210,000","119,856","10,130,191","53,690,012.30",
1220,Open Market,Basic Board,First Quotation Board,HAEMATO AG,DE0006190705,WIR,Germany,LI,,Financial Services,Real Estate,no,5/12/2005,,,,,6.05,,,,,,,,"9,000,000","54,450,000.00",
1221,Open Market,Delisted,First Quotation Board,Peaches AG,DE0005758650,HYO,Germany,LI,,,,no,2/12/2005,,,,,5,,,,,,,,"400,000","2,000,000.00",
1222,Open Market,Delisted,First Quotation Board,VAP-Vorboersliche Aktienplattform.de AG,DE000A0JCYE7,V2P,Germany,LI,,,,no,2/12/2005,,,,,1,,,,,,,,"2,000,000","2,000,000.00",
1223,Open Market,Delisted,First Quotation Board,Baytowne International Group Inc.,USU0727P1031,GZU,United States,LI,,,,no,1/12/2005,,,,,1.15,,,,,,,,"5,416,666","6,229,165.90",
1224,Open Market,Delisted,Entry Standard,EUTEX European Telco Exchange AG,DE0005565329,E2T,Germany,NI,,,,yes,1/12/2005,CCB Bank AG,Bookbuilding Procedure,10.00 - 12.00,10.2,10.5,"8,034,336.00","1,856,400.00","787,680","605,680","182,000","182,000","182,000","2,793,375","29,330,437.50",
1225,Open Market,Delisted,First Quotation Board,wallstreet:online capital AG,DE000A0HL762,WO8,Germany,LI,,Financial Services,Diversified Financial,no,30/11/2005,,,,,20.5,,,,,,,,"464,750","9,527,375.00",
1226,Open Market,Delisted,First Quotation Board,VIB Vermögen AG,DE0002457512,VIH,Germany,LI,,,,no,28/11/2005,,,,,6,,,,,,,,"9,792,000","58,752,000.00",
1227,Open Market,Scale,Quotation Board,Cliq Digital AG,DE000A0HHJR3,B4B,Germany,LI,,Retail,Internet,yes,28/11/2005,,,,,13.7,,,,,,,,"992,200","13,593,140.00",
1228,Open Market,Scale,Entry Standard,JDC Group AG,DE000A0B9N37,A8A,Germany,LI,,Financial Services,Diversified Financial,no,28/11/2005,,,,,10.25,,,,,,,,"5,650,000","57,912,500.00",
1229,Open Market,Delisted,First Quotation Board,Babylon Capital AG,DE000A0DPQS8,B5C,Germany,LI,,,,no,24/11/2005,,,,,6,,,,,,,,"500,000","3,000,000.00",
1230,Regulated Market,General Standard,General Standard (Geregelter Markt),CAMERIT AG,DE000RTM4444,RTM,Germany,NI,,Financial Services,Diversified Financial,yes,23/11/2005,VEM Aktienbank AG (Lead Manager: VEM Aktienbank AG),Fixed Price Procedure,,1.55,1.55,"17,050,000.00","1,550,000.00","11,000,000","10,000,000","1,000,000","1,000,000","1,000,000","60,000,000","93,000,000.00","17,046,900.00"
1231,Regulated Market,Delisted,Prime Standard (Amtlicher Markt),Praktiker AG,DE000A0F6MD5,PRA,Germany,NI,Consumer Services,Retail,"Retail, Specialty",yes,22/11/2005,Joint Bookrunners:<br>  ABN AMRO Bank N.V.; Deutsche Bank AG; J. P. Morgan Securities Ltd.  <br><br>  Co-Lead Managers:<br>  Dresdner Kleinwort Wasserstein; HSBC Trinkaus & Burkhardt KGaA<br><br>  Co-Managers:<br>  HVB Corporates & Markets; Commerzbank Corporates & Markets (Lead Manager: ABN AMRO Bank N.V.; Deutsche Bank AG; J. P. Morgan Securities Ltd.),Bookbuilding Procedure,14.00 - 15.00,14.5,14.9,"500,250,000.00","65,250,000.00","34,500,000","8,000,000","26,500,000","4,500,000","4,500,000","58,000,000","864,200,000.00","514,026,160.00"
1232,Open Market,Delisted,Entry Standard,Biopetrol Industries AG,CH0023225938,B2I,Switzerland,PP,,Industrial,Renewable Energies,no,21/11/2005,equinet Securities AG,,,8.2,9,"73,800,000.00",,"9,000,000","7,000,000","2,000,000","1,200,000","1,200,000","37,000,000","333,000,000.00",
1233,Official Market,Delisted,Prime Standard,Thielert Aktiengesellschaft,DE0006052079,T3C,Germany,NI,,Industrial,Industrial Machinery,yes,17/11/2005,Joint Global Coordinators & Joint Bookrunners:<br>  Cazenove AG; Dresdner Kleinwort Wasserstein  <br><br>  Co-Manager:<br>  Landesbank Baden-Württemberg (Lead Manager: Cazenove AG; Dresdner Kleinwort Wasserstein),Bookbuilding Procedure,12.00 - 14.00,13.5,13.5,"142,200,184.50","12,927,290.00","10,533,347","4,590,354","5,942,993","957,577","957,577","19,891,530","268,535,655.00","142,189,629.32"
1234,Open Market,Delisted,Entry Standard,NanoFocus AG,DE0005400667,N2F,Germany,LI,,Industrial,Advanced Industrial Equipment,no,14/11/2005,,,,,14.7,,,,,,,,"1,906,200","28,021,140.00",
1235,Open Market,Delisted,First Quotation Board,Realtime Technology AG,DE0007012205,R1T,Germany,LI,,Software,IT-Services,no,7/11/2005,,,,,15.45,,,,,,,,"1,438,060","22,218,027.00",
1236,Official Market,Delisted,Prime Standard,Jerini AG ,DE0006787476,JI4,Germany,NI,,Pharma & Healthcare,Biotechnology,yes,1/11/2005,Joint Global Coordinators & Joint Bookrunners:<br>  Credit Suisse First Boston (Europe) Limited; Deutsche Bank AG  <br><br>  Co-Lead Managers:<br>  Fortis Bank NV; WestLB AG (Lead Manager: Credit Suisse First Boston (Europe) Limited; Deutsche Bank AG),Bookbuilding Procedure,3.20 - 3.60,3.2,3.1,"49,600,000.00",,"15,500,000","15,500,000",,"2,325,000",,"48,952,231","151,751,916.10","48,044,656.64"
1237,Regulated Market,Delisted,Entry Standard,Leonardo Venture GmbH & Co. KGaA,DE0005878763,L3V,Germany,LI,,Financial Services,Private Equity & Venture Capital,no,31/10/2005,,,,,2.65,,,,,,,,"8,263,836","21,899,165.40",
1238,Open Market,Scale,Prime Standard (Amtlicher Markt),Lloyd Fonds Aktiengesellschaft,DE0006174873,L1O,Germany,NI,,Financial Services,Diversified Financial,yes,28/10/2005,Lead Manager & Sole Bookrunner:<br>  DZ BANK AG Deutsche Zentral-Genossenschaftsbank  <br><br>  Co-Lead Manager:<br>  HSBC Trinkaus & Burkhardt KGaA; Sal.Oppenheim jr. & Cie. Kommanditgesellschaft auf Aktien  <br><br>  Co-Manager:<br>  M.M.Warburg & CO Kommanditgesellschaft auf Aktien (Lead Manager: DZ BANK AG Deutsche Zentral-Genossenschaftsbank),Bookbuilding Procedure,16.00 - 18.00,16,15.6,"88,666,672.00",,"5,541,667","3,166,667","2,375,000","831,250",,"12,666,667","197,600,005.20","86,450,002.28"
1239,Open Market,Delisted,Entry Standard,CD Deutsche Eigenheim AG,DE000A168270,D2B,Germany,NI,,Financial Services,Real Estate,yes,25/10/2005,West LB & Baader Wertpapierhandelsbank AG,Bookbuilding Procedure,18.00 - 20.00,20,20.52,"18,600,000.00","1,600,000.00","930,000","800,000","130,000","80,000","80,000","2,400,000","49,248,000.00",
1240,Open Market,Delisted,First Quotation Board,Sunline AG,DE000A0BMP00,SU3,Germany,LI,,Industrial,Renewable Energies,no,20/10/2005,,,,5.3,6,"9,142,500.00",,"1,725,000",,,,,"6,225,000","37,350,000.00",
1241,Open Market,Basic Board,Quotation Board,SEVEN PRINCIPLES AG,DE000A2AAA75,T3T,Germany,PP,,Software,IT-Services,no,20/10/2005,,,,10.85,10.4,"15,265,950.00",,"1,407,000",,,,,"3,400,000","35,360,000.00",
1242,Open Market,Delisted,First Quotation Board,http.net AG,DE000A0CAYT4,H6N,Germany,LI,,,,no,17/10/2005,,,,,4.5,,,,,,,,"2,150,000","9,675,000.00",
1243,Open Market,Delisted,First Quotation Board,informica real invest AG,DE0005266209,IDE,Germany,LI,,Financial Services,Real Estate,no,14/10/2005,,,,,5,,,,,,,,"350,000","1,750,000.00",
1244,Open Market,Delisted,First Quotation Board,AMITELO AG,CH0003307706,VO1,Switzerland,LI,,Telecommunication,,no,12/10/2005,,,,,1.1,,,,,,,,"20,000,000","22,000,000.00",
